Organism	Node	Score
Rat	83800	0
Rat	298296	0
Rat	65046	0
Rat	140670	0
Rat	54241	0
Rat	58851	0
Rat	116563	0
Rat	64156	0
Rat	306825	0
Rat	50522	0
Rat	100912032	0
Rat	308578	0
Rat	25506	0
Rat	cpd:C00865	0
Rat	cpd:C00422	0
Rat	680551	0
Rat	54225	0
Rat	cpd:C00187	0
Rat	cpd:C02530	0
Rat	310900	0
Rat	29452	0
Rat	29560	0
Rat	25242	0
Rat	rno-miR-107-3p	0
Rat	rno-miR-9a-5p	0
Rat	64345	0
Rat	rno-miR-9a-3p	0
Rat	rno-miR-206-3p	0
Rat	rno-miR-433-3p	0
Rat	25738	0
Rat	303831	0
Rat	295704	0
Rat	287986	0
Rat	287436	0
Rat	300756	0
Rat	688288	0
Rat	292892	4.95482023028267
Rat	25489	0
Rat	24667	4.95482023028267
Rat	chebi:33019	0
Rat	116725	0
Rat	chebi:30616	0
Rat	298693	4.95482023028267
Rat	54287	4.95482023028267
Rat	297481	0
Rat	312688	4.95482023028267
Rat	117045	0
Rat	84598	0
Rat	294090	4.95482023028267
Rat	chebi:456215	0
Rat	306204	4.95482023028267
Rat	50689	0
Rat	301000	0
Rat	288124	0
Rat	301887	0
Rat	498281	0
Rat	25409	0
Rat	307505	0
Rat	26955	0
Rat	84407	0
Rat	362279	0
Rat	81679	0
Rat	25066	0
Rat	117048	0
Rat	84006	0
Rat	29181	0
Rat	29163	0
Rat	29162	0
Rat	498515	0
Rat	rno-miR-21-3p	0
Rat	116777	0
Rat	116479	0
Rat	cpd:C00076	0
Rat	311163	0
Rat	81918	0
Rat	310174	0
Rat	83502	0
Rat	361432	0
Rat	360882	0
Rat	192248	0
Rat	83501	0
Rat	rno-miR-200a-3p	0
Rat	84353	0
Rat	rno-miR-124-3p	0
Rat	308417	0
Rat	192183	0
Rat	363058	0
Rat	chebi:57925	0
Rat	chebi:138179	0
Rat	chebi:58349	0
Rat	chebi:138614	0
Rat	chebi:138615	0
Rat	chebi:138612	0
Rat	chebi:138601	0
Rat	chebi:138613	0
Rat	chebi:138602	0
Rat	29328	0
Rat	chebi:138616	0
Rat	cpd:C00038	0
Rat	chebi:91137	0
Rat	cpd:C00007	0
Rat	cpd:C00001	0
Rat	chebi:57783	0
Rat	chebi:138590	0
Rat	chebi:58297	0
Rat	25290	0
Rat	chebi:57856	0
Rat	chebi:57912	0
Rat	24848	0
Rat	chebi:59789	0
Rat	317675	0
