# Pathway Id	Pathway Name	Gene Id	Gene Name	Perturbation	Accumulator	pValue
path:hsa00190	Oxidative phosphorylation - Enriched	64077	LHPP	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	5464	PPA1	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	hsa-miR-101-3p	hsa-miR-101-3p	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	245972	ATP6V0D2	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	245973	ATP6V1C2	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	BRCA1	BRCA1	-1.23	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	479	ATP12A	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	513	ATP5F1D	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	514	ATP5F1E	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	515	ATP5PB	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	516	ATP5MC1	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	517	ATP5MC2	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	518	ATP5MC3	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	cpd:C00008	ADP	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	155066	ATP6V0E2	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	51606	ATP6V1H	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	9114	ATP6V0D1	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	9551	ATP5MF	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	hsa-miR-1-3p	hsa-miR-1-3p	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	9550	ATP6V1G1	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	521	ATP5ME	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	522	ATP5PF	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	523	ATP6V1A	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	525	ATP6V1B1	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	526	ATP6V1B2	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	527	ATP6V0C	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	528	ATP6V1C1	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	hsa-miR-518d-3p	hsa-miR-518d-3p	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	529	ATP6V1E1	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	8992	ATP6V0E1	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	90423	ATP6V1E2	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	127124	ATP6V1G3	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	23545	ATP6V0A2	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	51382	ATP6V1D	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	495	ATP4A	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	4508	ATP6	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	496	ATP4B	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	4509	ATP8	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	498	ATP5F1A	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	533	ATP6V0B	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	534	ATP6V1G2	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	535	ATP6V0A1	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	27068	PPA2	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	537	ATP6AP1	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	539	ATP5PO	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	10312	TCIRG1	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	10476	ATP5PD	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	10632	ATP5MG	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	hsa-miR-1289	hsa-miR-1289	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	50617	ATP6V0A4	0.0	0.0	1.0
path:hsa00190	Oxidative phosphorylation - Enriched	hsa-let-7c-3p	hsa-let-7c-3p	0.0	0.0	1.0
